Redshift,K-band mag,K-band dmag
 0.113, 19.435, 0.098
 0.101, 17.803, 0.023
 0.088, 16.293, 0.006
 0.103, 20.815, 0.314
 0.080, 20.954, 0.351
 0.191, 21.697, 0.611
 0.061, 21.022, 0.370
 0.160, 17.671, 0.020
 0.176, 17.802, 0.022
 0.177, 16.206, 0.005
 0.195, 21.922, 0.714
 0.150, 20.376, 0.220
 0.121, 21.087, 0.389
 0.104, 20.827, 0.317
 0.188, 21.695, 0.611
 0.097, 19.787, 0.133
 0.196, 20.571, 0.258
 0.038, 17.742, 0.021
 0.161, 18.630, 0.048
 0.088, 14.920, 0.002
 0.199, 21.945, 0.726
 0.185, 19.651, 0.118
 0.082, 20.362, 0.217
 0.160, 20.231, 0.194
 0.091, 21.144, 0.407
 0.158, 21.122, 0.400
 0.031, 19.887, 0.145
 0.117, 19.550, 0.108
 0.079, 16.186, 0.005
 0.168, 21.807, 0.660
 0.164, 19.923, 0.150
 0.107, 20.860, 0.326
 0.075, 18.364, 0.037
 0.029, 19.415, 0.096
 0.152, 21.943, 0.725
 0.115, 21.816, 0.665
 0.126, 14.261, 0.001
 0.185, 21.522, 0.540
 0.166, 20.992, 0.362
 0.152, 19.590, 0.112
 0.149, 18.438, 0.040
 0.137, 21.393, 0.491
 0.136, 15.650, 0.003
 0.102, 21.293, 0.455
 0.053, 20.427, 0.229
 0.184, 19.686, 0.122
 0.146, 21.120, 0.399
 0.180, 19.620, 0.115
 0.081, 21.235, 0.436
 0.065, 20.567, 0.257
 0.059, 21.556, 0.553
 0.056, 21.856, 0.683
 0.073, 20.420, 0.228
 0.042, 16.401, 0.006
 0.144, 20.347, 0.214
 0.116, 21.439, 0.508
 0.121, 18.632, 0.048
 0.120, 21.465, 0.518
 0.179, 21.844, 0.678
 0.144, 20.121, 0.177
 0.038, 20.751, 0.299
 0.162, 18.232, 0.033
 0.079, 20.274, 0.202
 0.177, 20.332, 0.212
 0.062, 20.869, 0.328
 0.142, 16.795, 0.009
 0.194, 21.836, 0.674
 0.029, 18.691, 0.050
 0.163, 21.943, 0.724
 0.166, 19.869, 0.143
 0.104, 17.561, 0.018
 0.144, 13.645, 0.000
 0.140, 21.225, 0.433
 0.071, 21.811, 0.662
 0.100, 17.504, 0.017
 0.105, 21.085, 0.389
 0.164, 21.960, 0.733
 0.200, 18.227, 0.033
 0.117, 20.762, 0.301
 0.116, 16.067, 0.005
 0.061, 20.292, 0.205
 0.102, 17.009, 0.011
 0.038, 18.405, 0.039
 0.154, 21.398, 0.493
 0.068, 20.172, 0.185
 0.163, 17.917, 0.025
 0.108, 18.273, 0.035
 0.083, 21.330, 0.468
 0.164, 21.185, 0.420
 0.195, 21.694, 0.610
 0.179, 19.263, 0.084
 0.101, 21.429, 0.504
 0.155, 18.624, 0.047
 0.141, 21.061, 0.382
 0.102, 20.008, 0.161
 0.151, 20.027, 0.163
 0.156, 20.257, 0.199
 0.195, 21.895, 0.701
 0.155, 15.726, 0.003
 0.169, 16.997, 0.011
 0.133, 20.084, 0.172
 0.152, 13.462, 0.000
 0.102, 20.742, 0.296
 0.172, 16.778, 0.009
 0.156, 20.427, 0.229
 0.118, 18.660, 0.049
 0.141, 20.840, 0.321
 0.088, 18.050, 0.028
 0.195, 21.075, 0.386
 0.153, 20.245, 0.197
 0.193, 19.577, 0.111
 0.091, 16.671, 0.008
 0.088, 20.160, 0.183
 0.173, 18.853, 0.058
 0.175, 18.630, 0.048
 0.188, 19.311, 0.088
 0.083, 20.814, 0.314
 0.094, 19.954, 0.154
 0.063, 16.504, 0.007
 0.181, 20.709, 0.289
 0.039, 15.491, 0.003
 0.048, 20.391, 0.222
 0.126, 18.597, 0.046
 0.082, 20.004, 0.160
 0.138, 21.546, 0.549
 0.115, 21.116, 0.398
 0.196, 16.616, 0.008
 0.154, 21.751, 0.635
 0.126, 18.769, 0.054
 0.167, 21.517, 0.538
 0.051, 17.386, 0.015
 0.087, 21.146, 0.408
 0.143, 15.955, 0.004
 0.182, 20.061, 0.168
 0.142, 17.088, 0.012
 0.101, 21.402, 0.494
 0.082, 20.488, 0.241
 0.186, 18.028, 0.028
 0.115, 20.959, 0.352
 0.160, 21.483, 0.524
 0.066, 19.740, 0.128
 0.142, 17.349, 0.015
 0.167, 20.175, 0.185
 0.146, 16.958, 0.010
 0.031, 20.424, 0.228
 0.181, 17.461, 0.016
 0.112, 21.838, 0.674
 0.090, 17.473, 0.017
 0.091, 16.922, 0.010
 0.130, 17.054, 0.011
 0.132, 21.830, 0.671
 0.110, 21.943, 0.724
 0.103, 21.927, 0.717
 0.188, 21.783, 0.649
 0.154, 21.488, 0.526
 0.150, 21.955, 0.730
 0.177, 21.572, 0.559
 0.059, 21.948, 0.727
 0.081, 19.237, 0.082
 0.061, 13.390, 0.000
 0.021, 17.394, 0.015
 0.069, 20.470, 0.237
 0.194, 20.585, 0.261
 0.180, 21.193, 0.422
 0.057, 21.116, 0.398
 0.181, 21.898, 0.703
 0.185, 18.498, 0.042
 0.102, 21.064, 0.382
 0.137, 21.957, 0.731
 0.130, 20.642, 0.273
 0.104, 20.139, 0.180
 0.180, 19.440, 0.098
 0.145, 21.266, 0.446
 0.119, 21.558, 0.554
 0.200, 20.475, 0.238
 0.125, 19.814, 0.136
 0.168, 21.668, 0.599
 0.125, 20.562, 0.256
 0.075, 20.826, 0.317
 0.059, 20.100, 0.174
 0.162, 21.998, 0.752
 0.122, 20.740, 0.296
 0.159, 21.427, 0.504
 0.185, 21.156, 0.411
 0.070, 18.929, 0.062
 0.177, 21.948, 0.727
 0.144, 21.670, 0.600
 0.176, 21.231, 0.435
 0.066, 20.166, 0.184
 0.068, 20.201, 0.190
 0.120, 21.190, 0.421
 0.189, 21.553, 0.552
 0.180, 18.879, 0.060
 0.189, 19.131, 0.075
 0.113, 19.920, 0.149
 0.179, 19.862, 0.142
 0.106, 18.818, 0.056
 0.192, 20.963, 0.353
 0.189, 21.152, 0.409
 0.100, 21.629, 0.583
 0.170, 20.404, 0.225
 0.143, 21.284, 0.453
 0.152, 20.784, 0.307
 0.191, 21.063, 0.382
 0.143, 19.465, 0.100
 0.081, 21.196, 0.423
 0.142, 19.812, 0.136
 0.163, 21.693, 0.610
 0.011, 18.369, 0.038
 0.097, 21.786, 0.651
 0.139, 18.875, 0.059
 0.127, 19.355, 0.091
 0.196, 17.849, 0.023
 0.150, 21.669, 0.600
 0.109, 19.621, 0.115
 0.195, 21.607, 0.574
 0.113, 19.107, 0.073
 0.106, 19.613, 0.114
 0.134, 19.928, 0.150
 0.135, 17.796, 0.022
 0.172, 16.989, 0.011
 0.179, 17.219, 0.013
 0.099, 20.435, 0.231
 0.186, 17.769, 0.022
 0.168, 15.457, 0.003
 0.076, 21.429, 0.504
 0.187, 17.796, 0.022
 0.105, 19.132, 0.075
 0.181, 20.898, 0.336
 0.191, 20.354, 0.215
 0.117, 21.363, 0.480
 0.184, 21.459, 0.515
 0.094, 18.873, 0.059
 0.049, 21.251, 0.442
 0.072, 19.619, 0.115
 0.101, 21.562, 0.555
 0.199, 21.412, 0.498
 0.113, 21.435, 0.506
 0.082, 21.394, 0.491
 0.141, 17.929, 0.025
 0.067, 14.083, 0.001
 0.193, 21.647, 0.590
 0.107, 19.074, 0.071
 0.168, 21.035, 0.374
 0.158, 18.634, 0.048
 0.048, 20.259, 0.199
 0.184, 21.564, 0.556
 0.053, 19.340, 0.090
 0.106, 18.918, 0.062
 0.176, 20.315, 0.209
 0.145, 20.480, 0.239
 0.183, 18.016, 0.027
 0.114, 14.122, 0.001
 0.186, 18.811, 0.056
 0.124, 18.322, 0.036
 0.184, 21.089, 0.390
 0.189, 20.970, 0.355
 0.063, 15.655, 0.003
 0.134, 18.772, 0.054
 0.168, 20.572, 0.258
 0.152, 21.111, 0.397
 0.172, 21.434, 0.506
 0.128, 21.558, 0.554
 0.139, 21.478, 0.523
 0.066, 17.866, 0.024
 0.153, 17.102, 0.012
 0.182, 21.365, 0.481
 0.115, 14.365, 0.001
 0.181, 20.752, 0.299
 0.074, 21.190, 0.421
 0.161, 21.955, 0.730
 0.107, 21.886, 0.697
 0.144, 15.568, 0.003
 0.186, 21.173, 0.416
 0.185, 19.700, 0.123
 0.143, 21.852, 0.681
 0.164, 20.753, 0.299
 0.157, 21.837, 0.674
 0.063, 20.589, 0.262
 0.184, 20.164, 0.184
 0.186, 20.469, 0.237
 0.104, 18.647, 0.048
 0.160, 21.492, 0.528
 0.114, 20.975, 0.357
 0.152, 20.795, 0.309
 0.124, 21.291, 0.455
 0.137, 21.523, 0.540
 0.051, 17.681, 0.020
 0.090, 21.607, 0.574
 0.188, 19.934, 0.151
 0.156, 20.290, 0.204
 0.181, 21.738, 0.629
 0.133, 21.280, 0.451
 0.115, 17.419, 0.016
 0.127, 20.220, 0.193
 0.198, 19.943, 0.152
 0.120, 20.846, 0.322
 0.181, 19.297, 0.087
 0.147, 21.959, 0.732
 0.088, 20.821, 0.316
 0.182, 18.187, 0.032
 0.177, 20.515, 0.246
 0.165, 21.831, 0.671
 0.149, 17.692, 0.020
 0.101, 20.989, 0.361
 0.168, 20.247, 0.197
 0.086, 20.174, 0.185
 0.099, 20.313, 0.208
 0.152, 20.938, 0.347
 0.161, 17.412, 0.016
 0.151, 18.023, 0.027
 0.162, 20.998, 0.363
 0.172, 21.475, 0.522
 0.165, 20.762, 0.301
 0.092, 21.978, 0.742
 0.111, 19.753, 0.129
 0.126, 20.937, 0.346
 0.161, 21.540, 0.547
 0.165, 16.501, 0.007
 0.170, 21.186, 0.420
 0.179, 21.112, 0.397
 0.077, 21.866, 0.688
 0.184, 21.891, 0.700
 0.105, 19.693, 0.123
 0.171, 21.957, 0.731
 0.093, 21.591, 0.567
 0.056, 18.862, 0.059
 0.171, 21.627, 0.582
 0.110, 20.777, 0.305
 0.096, 21.070, 0.384
 0.085, 19.055, 0.070
 0.116, 20.549, 0.253
 0.162, 20.403, 0.225
 0.091, 21.924, 0.715
 0.191, 21.545, 0.549
 0.052, 21.166, 0.414
 0.190, 21.947, 0.727
 0.194, 20.670, 0.280
 0.174, 20.939, 0.347
 0.185, 20.128, 0.178
 0.053, 21.958, 0.732
 0.188, 21.704, 0.615
 0.101, 21.224, 0.433
 0.075, 20.897, 0.335
 0.112, 18.957, 0.064
 0.120, 21.140, 0.405
 0.085, 21.370, 0.483
 0.173, 21.898, 0.703
 0.144, 17.150, 0.012
 0.165, 20.280, 0.203
 0.057, 21.998, 0.752
 0.178, 21.049, 0.378
 0.181, 20.737, 0.295
 0.084, 20.307, 0.207
 0.127, 21.606, 0.573
 0.185, 21.155, 0.410
 0.183, 21.653, 0.593
 0.041, 16.178, 0.005
 0.070, 19.820, 0.137
 0.177, 20.799, 0.310
 0.195, 16.315, 0.006
 0.121, 20.741, 0.296
 0.026, 20.973, 0.356
 0.173, 21.498, 0.530
 0.068, 20.396, 0.223
 0.071, 19.626, 0.116
 0.039, 17.303, 0.014
 0.159, 19.795, 0.134
 0.148, 21.623, 0.580
 0.073, 20.842, 0.321
 0.100, 20.661, 0.278
 0.157, 21.334, 0.470
 0.154, 21.210, 0.428
 0.064, 17.886, 0.024
 0.156, 17.409, 0.016
 0.196, 18.301, 0.035
 0.184, 21.633, 0.584
 0.124, 21.383, 0.487
 0.049, 20.263, 0.200
 0.180, 21.345, 0.474
 0.103, 20.881, 0.331
 0.194, 17.688, 0.020
 0.152, 21.070, 0.384
 0.127, 15.996, 0.004
 0.185, 17.999, 0.027
 0.083, 21.928, 0.717
 0.190, 17.363, 0.015
 0.106, 21.090, 0.390
 0.117, 20.102, 0.174
 0.168, 21.620, 0.579
 0.049, 20.291, 0.204
 0.131, 21.828, 0.670
 0.058, 19.550, 0.108
 0.164, 21.843, 0.677
 0.067, 21.237, 0.437
 0.160, 21.618, 0.578
 0.162, 21.802, 0.658
 0.159, 21.507, 0.534
 0.114, 20.221, 0.193
 0.100, 18.378, 0.038
 0.173, 19.691, 0.122
 0.197, 21.187, 0.420
 0.120, 21.899, 0.703
 0.108, 20.253, 0.198
 0.075, 21.328, 0.468
 0.137, 17.568, 0.018
 0.103, 18.614, 0.047
 0.194, 20.282, 0.203
 0.194, 16.372, 0.006
 0.154, 18.430, 0.040
 0.167, 19.644, 0.117
 0.159, 21.430, 0.505
 0.155, 21.751, 0.635
 0.190, 19.345, 0.090
 0.186, 16.457, 0.007
 0.122, 21.948, 0.727
 0.190, 18.775, 0.054
 0.184, 19.086, 0.072
 0.017, 17.088, 0.012
 0.130, 19.753, 0.129
 0.062, 21.809, 0.661
 0.144, 20.687, 0.284
 0.191, 20.493, 0.242
 0.116, 18.508, 0.043
 0.048, 20.167, 0.184
 0.054, 20.290, 0.204
 0.115, 20.147, 0.181
 0.149, 21.621, 0.580
 0.120, 20.249, 0.197
 0.200, 19.811, 0.136
 0.070, 15.907, 0.004
 0.126, 21.679, 0.604
 0.197, 20.080, 0.171
 0.197, 21.676, 0.602
 0.083, 21.123, 0.400
 0.107, 20.597, 0.264
 0.116, 21.591, 0.567
 0.031, 21.296, 0.457
 0.180, 19.599, 0.113
 0.111, 21.462, 0.517
 0.195, 21.545, 0.549
 0.120, 21.639, 0.587
 0.154, 21.691, 0.609
 0.073, 14.530, 0.001
 0.147, 20.150, 0.181
 0.106, 21.947, 0.727
 0.130, 17.013, 0.011
 0.167, 18.896, 0.061
 0.059, 18.780, 0.055
 0.080, 21.937, 0.722
 0.155, 21.116, 0.398
 0.178, 18.032, 0.028
 0.103, 21.879, 0.694
 0.128, 21.373, 0.484
 0.150, 20.684, 0.283
 0.136, 21.846, 0.678
 0.171, 20.450, 0.234
 0.144, 20.154, 0.182
 0.192, 18.474, 0.041
 0.199, 21.751, 0.635
 0.170, 20.107, 0.175
 0.152, 21.946, 0.726
 0.162, 19.457, 0.100
 0.158, 19.132, 0.075
 0.141, 21.747, 0.633
 0.097, 21.322, 0.466
 0.156, 19.314, 0.088
 0.098, 20.301, 0.206
 0.168, 16.139, 0.005
 0.172, 21.125, 0.401
 0.194, 18.788, 0.055
 0.189, 20.310, 0.208
 0.124, 21.791, 0.653
 0.106, 21.217, 0.430
 0.056, 14.276, 0.001
 0.089, 20.470, 0.237
 0.180, 21.620, 0.579
 0.113, 17.425, 0.016
 0.197, 21.047, 0.377
 0.066, 20.737, 0.295
 0.159, 20.130, 0.178
 0.167, 16.869, 0.010
 0.164, 21.111, 0.397
 0.182, 21.314, 0.463
 0.042, 21.744, 0.632
 0.054, 19.415, 0.096
 0.196, 17.318, 0.014
 0.151, 20.234, 0.195
 0.064, 18.195, 0.032
 0.074, 20.213, 0.191
 0.124, 20.999, 0.363
 0.128, 21.694, 0.610
 0.140, 21.909, 0.708
 0.160, 21.460, 0.516
 0.130, 21.002, 0.365
 0.100, 20.653, 0.276
 0.066, 18.716, 0.051
 0.171, 21.165, 0.413
 0.137, 21.156, 0.411
 0.059, 17.442, 0.016
 0.070, 21.202, 0.425
 0.150, 20.227, 0.194
 0.161, 21.288, 0.454
 0.149, 20.178, 0.186
 0.196, 19.480, 0.102
 0.035, 18.562, 0.045
 0.132, 20.600, 0.264
 0.149, 20.717, 0.291
 0.144, 21.892, 0.700
 0.159, 16.844, 0.009
 0.097, 21.149, 0.408
 0.072, 19.270, 0.084
 0.126, 21.425, 0.503
 0.158, 17.117, 0.012
 0.190, 21.128, 0.402
 0.172, 15.164, 0.002
 0.148, 21.540, 0.547
 0.196, 18.433, 0.040
 0.184, 15.067, 0.002
 0.153, 21.386, 0.488
 0.185, 21.395, 0.492
 0.195, 21.244, 0.439
 0.179, 21.677, 0.603
 0.083, 21.725, 0.624
 0.135, 20.807, 0.312
 0.131, 21.230, 0.434
 0.061, 20.260, 0.199
 0.178, 19.004, 0.067
 0.056, 21.346, 0.474
 0.076, 21.729, 0.625
 0.173, 20.925, 0.343
 0.123, 21.884, 0.696
 0.169, 18.315, 0.036
 0.066, 21.403, 0.495
 0.111, 21.812, 0.663
 0.187, 21.730, 0.626
 0.185, 21.059, 0.381
 0.108, 21.704, 0.615
 0.190, 16.171, 0.005
 0.135, 19.398, 0.095
 0.193, 18.714, 0.051
 0.135, 20.983, 0.359
 0.109, 19.495, 0.103
 0.132, 21.762, 0.640
 0.066, 21.525, 0.541
 0.091, 21.449, 0.512
 0.084, 20.184, 0.187
 0.162, 15.834, 0.004
 0.156, 21.920, 0.713
 0.198, 19.504, 0.104
 0.083, 20.299, 0.206
 0.122, 20.114, 0.176
 0.194, 13.882, 0.001
 0.161, 20.837, 0.320
 0.181, 17.374, 0.015
 0.173, 20.270, 0.201
 0.069, 21.205, 0.426
 0.177, 15.792, 0.004
 0.056, 14.615, 0.001
 0.167, 21.263, 0.445
 0.187, 21.030, 0.373
 0.131, 18.141, 0.031
 0.194, 18.429, 0.040
 0.047, 21.249, 0.441
 0.067, 20.775, 0.304
 0.171, 17.204, 0.013
 0.141, 19.073, 0.071
 0.153, 21.488, 0.526
 0.161, 21.515, 0.537
 0.177, 15.218, 0.002
 0.175, 21.390, 0.490
 0.199, 20.795, 0.309
 0.137, 19.813, 0.136
 0.118, 21.872, 0.690
 0.173, 21.627, 0.582
 0.095, 20.599, 0.264
 0.194, 21.445, 0.510
 0.163, 21.692, 0.609
 0.076, 17.159, 0.012
 0.198, 16.173, 0.005
 0.032, 10.126, 0.000
 0.191, 19.771, 0.131
 0.162, 20.673, 0.280
 0.055, 21.029, 0.372
 0.075, 21.753, 0.636
 0.169, 17.749, 0.021
 0.018, 18.307, 0.036
 0.188, 20.622, 0.269
 0.171, 14.160, 0.001
 0.158, 20.210, 0.191
 0.120, 21.025, 0.371
 0.157, 19.092, 0.072
 0.174, 20.879, 0.331
 0.120, 21.280, 0.451
 0.104, 17.194, 0.013
 0.076, 21.197, 0.424
 0.164, 20.944, 0.348
 0.179, 20.071, 0.170
 0.192, 20.679, 0.282
 0.169, 16.190, 0.005
 0.198, 21.231, 0.435
 0.128, 18.364, 0.037
 0.132, 18.166, 0.031
 0.160, 20.162, 0.183
 0.185, 16.365, 0.006
 0.097, 18.812, 0.056
 0.194, 20.803, 0.311
 0.162, 17.788, 0.022
 0.129, 17.360, 0.015
 0.108, 19.135, 0.075
 0.090, 19.599, 0.113
 0.173, 21.651, 0.592
 0.185, 19.576, 0.111
 0.071, 20.761, 0.301
 0.186, 21.408, 0.496
 0.092, 20.995, 0.363
 0.193, 19.482, 0.102
 0.124, 21.825, 0.668
 0.116, 20.911, 0.339
 0.056, 21.609, 0.575
 0.054, 21.834, 0.673
 0.183, 21.844, 0.677
 0.085, 19.803, 0.135
 0.078, 21.525, 0.541
 0.168, 19.232, 0.082
 0.197, 21.429, 0.504
 0.155, 21.172, 0.416
 0.122, 20.270, 0.201
 0.195, 20.385, 0.221
 0.106, 21.340, 0.472
 0.143, 18.529, 0.043
 0.079, 20.093, 0.173
 0.196, 15.803, 0.004
 0.133, 21.334, 0.470
 0.141, 20.250, 0.198
 0.134, 20.549, 0.253
 0.161, 21.224, 0.432
 0.193, 17.314, 0.014
 0.076, 18.275, 0.035
 0.137, 16.560, 0.007
 0.180, 21.240, 0.438
 0.175, 16.361, 0.006
 0.098, 21.312, 0.462
 0.108, 21.565, 0.557
 0.137, 21.497, 0.530
 0.198, 20.778, 0.305
 0.121, 14.681, 0.001
 0.130, 21.877, 0.693
 0.160, 20.857, 0.325
 0.195, 21.802, 0.658
 0.100, 19.869, 0.143
 0.193, 18.261, 0.034
 0.167, 16.938, 0.010
 0.093, 14.685, 0.001
 0.131, 21.487, 0.526
 0.111, 17.534, 0.018
 0.059, 21.435, 0.506
 0.139, 20.718, 0.291
 0.067, 17.612, 0.019
 0.164, 21.614, 0.577
 0.117, 21.629, 0.583
 0.090, 21.173, 0.416
 0.176, 21.148, 0.408
 0.193, 21.792, 0.654
 0.116, 20.686, 0.283
 0.184, 21.445, 0.510
 0.143, 19.382, 0.093
 0.124, 20.980, 0.358
 0.118, 19.214, 0.080
 0.116, 18.017, 0.027
 0.125, 13.886, 0.001
 0.056, 21.869, 0.689
 0.089, 21.099, 0.393
 0.156, 20.535, 0.250
 0.195, 21.480, 0.523
 0.149, 19.742, 0.128
 0.095, 21.176, 0.417
 0.158, 18.327, 0.036
 0.178, 21.208, 0.427
 0.174, 20.502, 0.244
 0.108, 20.977, 0.357
 0.199, 13.978, 0.001
 0.099, 20.611, 0.267
 0.054, 17.156, 0.012
 0.141, 16.764, 0.009
 0.057, 21.784, 0.650
 0.110, 20.823, 0.316
 0.168, 21.145, 0.407
 0.093, 19.184, 0.078
 0.107, 21.097, 0.392
 0.043, 14.145, 0.001
 0.199, 21.056, 0.380
 0.181, 21.224, 0.432
 0.141, 20.781, 0.306
 0.184, 17.377, 0.015
 0.090, 21.421, 0.501
 0.116, 18.045, 0.028
 0.141, 14.966, 0.002
 0.044, 19.400, 0.095
 0.013, 15.896, 0.004
 0.195, 20.519, 0.247
 0.111, 16.100, 0.005
 0.105, 21.661, 0.596
 0.177, 13.839, 0.001
 0.155, 20.944, 0.348
 0.188, 18.597, 0.046
 0.173, 19.778, 0.132
 0.144, 14.796, 0.001
 0.187, 18.408, 0.039
 0.140, 16.443, 0.006
 0.176, 14.962, 0.002
 0.093, 18.782, 0.055
 0.126, 19.129, 0.075
 0.174, 21.073, 0.385
 0.159, 20.122, 0.177
 0.157, 16.812, 0.009
 0.098, 20.248, 0.197
 0.052, 15.814, 0.004
 0.198, 20.293, 0.205
 0.126, 19.065, 0.070
 0.151, 19.865, 0.142
 0.144, 21.468, 0.519
 0.107, 17.681, 0.020
 0.041, 17.674, 0.020
 0.086, 21.311, 0.462
 0.115, 19.777, 0.132
 0.152, 19.051, 0.070
 0.067, 20.786, 0.307
 0.172, 20.403, 0.224
 0.163, 21.682, 0.605
 0.183, 16.917, 0.010
 0.161, 19.489, 0.102
 0.167, 21.760, 0.639
 0.115, 21.167, 0.414
 0.051, 20.441, 0.232
 0.142, 18.975, 0.065
 0.192, 21.604, 0.572
 0.107, 18.977, 0.065
 0.171, 21.954, 0.730
 0.139, 19.431, 0.097
 0.194, 20.965, 0.354
 0.130, 18.697, 0.051
 0.140, 21.511, 0.535
 0.158, 19.134, 0.075
 0.036, 21.579, 0.562
 0.084, 21.894, 0.701
 0.089, 21.084, 0.388
 0.196, 18.615, 0.047
 0.165, 19.787, 0.133
 0.075, 18.428, 0.040
 0.153, 21.934, 0.720
 0.106, 19.082, 0.071
 0.183, 21.542, 0.547
 0.088, 20.105, 0.175
 0.045, 20.919, 0.341
 0.061, 17.840, 0.023
 0.070, 16.596, 0.007
 0.169, 13.135, 0.000
 0.116, 18.876, 0.059
 0.102, 13.293, 0.000
 0.164, 20.583, 0.261
 0.163, 20.936, 0.346
 0.198, 17.350, 0.015
 0.103, 20.576, 0.259
 0.199, 20.210, 0.191
 0.098, 18.721, 0.052
 0.183, 21.892, 0.700
 0.053, 21.560, 0.555
 0.148, 20.561, 0.256
 0.165, 18.397, 0.039
 0.168, 20.454, 0.234
 0.191, 18.853, 0.058
 0.108, 20.587, 0.261
 0.188, 21.415, 0.499
 0.169, 20.719, 0.291
 0.199, 19.274, 0.085
 0.115, 21.026, 0.371
 0.045, 15.660, 0.003
 0.088, 21.697, 0.611
 0.156, 17.390, 0.015
 0.102, 21.439, 0.508
 0.095, 20.479, 0.239
 0.094, 21.495, 0.529
 0.106, 18.542, 0.044
 0.181, 17.661, 0.020
 0.175, 20.591, 0.262
 0.192, 16.761, 0.009
 0.103, 19.781, 0.132
 0.159, 19.023, 0.068
 0.169, 21.606, 0.573
 0.071, 18.776, 0.054
 0.195, 17.601, 0.019
 0.104, 21.283, 0.452
 0.192, 19.333, 0.089
 0.050, 19.144, 0.076
 0.101, 16.536, 0.007
 0.110, 21.605, 0.573
 0.169, 21.857, 0.683
 0.196, 21.482, 0.524
 0.132, 21.143, 0.406
 0.184, 21.884, 0.696
 0.100, 20.883, 0.332
 0.174, 21.625, 0.581
 0.173, 20.960, 0.353
 0.101, 21.015, 0.368
 0.170, 19.280, 0.085
 0.132, 17.667, 0.020
 0.061, 21.633, 0.585
 0.136, 21.740, 0.630
 0.154, 19.324, 0.089
 0.076, 20.671, 0.280
 0.070, 20.227, 0.194
 0.150, 18.162, 0.031
 0.138, 21.674, 0.602
 0.197, 20.002, 0.160
 0.086, 21.644, 0.589
 0.173, 20.766, 0.302
 0.165, 16.200, 0.005
 0.131, 18.970, 0.065
 0.158, 20.736, 0.295
 0.156, 21.738, 0.629
 0.135, 20.520, 0.247
 0.192, 21.183, 0.419
 0.199, 21.056, 0.380
 0.034, 21.455, 0.514
 0.199, 20.921, 0.342
 0.143, 14.743, 0.001
 0.196, 19.440, 0.098
 0.085, 16.486, 0.007
 0.026, 18.474, 0.041
 0.100, 19.986, 0.158
 0.178, 21.367, 0.482
 0.160, 18.218, 0.033
 0.133, 13.856, 0.001
 0.182, 19.208, 0.080
 0.157, 18.967, 0.065
 0.110, 20.498, 0.243
 0.194, 19.447, 0.099
 0.167, 21.979, 0.742
 0.098, 20.874, 0.330
 0.195, 15.292, 0.002
 0.159, 20.721, 0.291
 0.171, 19.059, 0.070
 0.133, 18.504, 0.043
 0.147, 20.770, 0.303
 0.161, 18.893, 0.060
 0.138, 21.596, 0.569
 0.161, 21.590, 0.567
 0.121, 19.753, 0.129
 0.144, 14.755, 0.001
 0.115, 20.953, 0.351
 0.043, 16.445, 0.006
 0.152, 20.556, 0.255
 0.148, 21.207, 0.427
 0.156, 21.255, 0.443
 0.174, 21.463, 0.517
 0.176, 17.464, 0.017
